BLANK,Name,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
"CCNE1 (12, 5%)",CCNE1,-1.817851583,0.105706522,2.464681845,-0.600347524,0.088874473,-0.660359049,-0.588465005,0.135963156,0.336621824,0.663407102,3.133255063,-0.02443281,-1.372634643,-0.486813662,-0.031654676,-6.709050112,0.837752275,-0.5522008,-1.803616273,-1.230402772,-1.443041691,-0.381991051,1.149791543,-0.235931853,0.082780578,1.098195876,2.152454283,-0.244129706,0.111429481,1.182867032,0.754665203,-2.564189189,3.222417428,0.044026921,0.241281427,-0.402269044,0.349060925,-0.276137548,1.125101324,0.311561562,0.057575758,-0.160700685,-0.18726184,-0.066754967,0.205604534,-0.40131406,0.986473734,0.787773532,1.031382228,0.754787482,-0.894933555,-0.758748552,-0.460060667,-0.543258244,0.668886521,-0.997916046,-1.224131884,1.509262071,3.462588473,1.768060837,-0.53837779,-0.20236292,0.275358607,0.662824207,0.019644181,-0.609883487,-0.245114276,-0.061073411,0.137616937,-0.122522523,0.369161508,1.426979825,-0.390935531,0.388656262,1.851433945,0.582989265,3.054005074,0.088323353,0.825178998,-0.734058515,-0.085066749,-0.101508916,-0.331612903,0.26477799,-0.310760668,-0.944835046,-0.790949139,-0.977377461,2.904321827,7.108547009,0.042084168,0.158093186,1.591778476,-0.871675943,0.263649425,-0.727654082,1.25037594,2.856109906,1.362842893,0.508509541,-0.64762181,1.728885968,0.787916153,0.750928382,3.697862357,0.185516888,-0.01409396,1.036907876,-0.263260205,0.065569972,-1.165670831,-0.463161113,-0.144900162
"CDKN2A (55, 24%)",CDKN2A,0.198813056,0.195652174,0.329132474,2.175907459,0.339598997,0.61607565,1.187107348,0.492022337,-0.010885999,-0.009350649,0.774746009,1.172222222,-2.019008826,-0.294855166,0.020701553,1.527603513,1.636644762,0.851351351,2.167890357,1.872447013,0.515353418,-0.008948546,0.564919595,0.3315,0.320141165,0.362886598,-0.129794653,0.094629156,-0.095952547,0.673109244,0.47546879,0.26460177,2.067773167,-0.282546902,-0.13258427,0.724094088,0.199770115,0.381818182,-0.101831299,0.435105987,0.8895839,-0.021325209,1.081469649,0.384615385,0.357480781,1.161199385,1.098529412,-0.006117308,-0.034281546,0.41061706,3.209222299,0.345293466,0.183780249,0.326393338,0.582880786,0.35996436,0.886601204,0.213074314,0.505561173,-1.05060423,-0.104379753,0.076740741,-0.221099015,-1.131940627,2.754633062,0.908777309,0.07970313,0.674398625,0.120876416,0.077678571,0.69751861,1.288935034,0.785460573,0.61062591,-1.381118881,0.478943022,1.232674925,-0.801320859,0.67339501,0.545387454,0.945108862,0.780429594,-0.430093555,-0.188809261,-0.587141506,0.130736393,0.585531274,-0.195433599,0.553954879,1.305442729,0.718225761,0.592512793,0.947759064,0.542540443,1.489711934,1.593696275,1.961158433,-1.364479051,0,0.438628159,-0.481728538,-0.925680159,-0.885471204,-0.080278298,-0.062931492,0.308280255,-0.24255751,-0.890998163,-0.499583449,-0.218633829,1.38960396,0.858419436,0.048038431
"EGFR (40, 17%)",EGFR,0.766070565,-0.292923597,-0.324619457,-0.21572935,0.203205128,0.424332344,-0.606079797,-0.214064756,0.099311995,0.106793618,-0.554254983,-0.570609693,-0.775232641,0.433010492,0.006329114,1.067690557,-0.237078172,-0.355676581,0.18542737,-1.153387534,0.355549116,-0.75248227,-0.25,-0.34787234,-0.383481646,-0.582383124,0.528731343,-0.039508013,-0.276006074,-0.444176949,-0.151633203,-0.501447876,-0.081930415,-0.411764706,0.24632427,0.011851377,-0.200750469,-0.270480226,0.322680412,-0.110807647,-0.253142356,0.101872659,-0.034710744,-0.483908379,-0.930464716,-0.778184034,-0.466399198,-0.483412322,-0.12436178,-0.341258049,2.286027569,0.689907467,0.909954058,-0.413072776,0.096974399,0.057618058,-0.357696567,-0.380794702,-0.787675412,0.308860759,-0.054980947,-0.261602034,-0.367987237,-0.098405717,1.353284223,-0.220155709,-0.064948454,-0.578527385,-0.093615948,-0.026576577,-0.602993817,-0.537414966,-0.764921466,-0.634790134,-1.242574257,-0.11060563,1.208171206,0.790993637,-0.77064551,-0.645816073,-0.206374759,0.164451827,-0.585151601,-0.134139483,-0.193259122,0.128335112,-0.933079204,0.730056849,0.276162001,0.596422182,-0.195530726,-0.300749532,-0.191330344,-0.74790795,0.317121919,0.553440305,1.212265758,1.641694725,0.94886204,0.426744917,1.095640327,1.278085642,0.722386297,-0.105477223,0.611281266,0.821209258,0.581930052,1.290788829,0.63198032,0.430160428,1.797627606,0.053256151,0.112473348
"KRAS (82, 36%)",KRAS,-0.073689673,0.29435376,0.177017784,0.312358704,-0.576005696,-0.058006941,0.161819143,0.03570004,-0.017656012,0.243946594,0.395287958,-0.04950495,-0.338588074,0.034917964,0.000287687,-38.43697479,0.233797909,0.04634323,-0.263214095,-0.730382294,-0.487282463,-0.045302013,2.897147796,0.028280255,0.223793272,0.283987915,-0.168282828,0.019729631,0.349350257,0.174136069,0.154826958,-0.19980695,0.075726141,0.204806409,-0.168135593,0.210108074,0.100951959,-0.010420285,-0.335483871,0.055699004,0.039978243,0.087771943,0.27931983,0.283179012,0.262877442,0.38950577,0.259072848,-0.129103652,-0.808413352,0.18727518,-0.345547507,-0.674629574,-0.11933739,0.194746957,-0.663755459,0.051886792,-0.087337776,0.128242925,0.235294118,-0.22246696,0.274623407,0.230599282,0.174478528,0.221902017,-0.409878683,-0.053435115,0.267445435,0.336728919,-0.079008521,0.132788999,0.226799007,0.241689373,0.557713053,0.444059577,-1.303345725,-0.741477273,-0.512345679,-1.158353127,0.658429858,-0.041537267,0.006477483,-0.182819383,0.505822077,0.203407602,-0.489802855,0.333891414,-0.23210504,-0.210096355,-0.625665287,-0.855513308,0.353204173,0.026912181,0.125383115,0.318609514,0.221960256,-0.919361122,-1.845165239,-2.857142857,-0.802985075,-0.489026449,-0.353730877,-1.979005021,-1.250640478,-0.064162325,-0.210941906,-0.509267986,-0.063829787,-1.31924667,-1.212495179,-0.39005439,-3.531185031,-1.625267666,-0.134787472
"MET (27, 12%)",MET,2.935585586,-0.12299169,0.207209848,1.108954041,1.681081081,-0.02643065,0.789128653,-0.039693734,0.211785821,0.227740607,1.505370102,1.333760684,-3.723783413,2.037636432,0.014959724,5.692832765,0.845271072,1.421985816,2.539351852,0.831599229,0.914517531,0.661281918,-1.281256332,-0.032524522,0.642551046,0.320519099,0.006352262,1.249637681,1.554418605,0.376117681,2.268800416,2.36534296,2.857784912,1.119359146,0.710052295,0.583920564,0.178734062,1.635041322,0.512371134,0.503532912,0.522138229,0.147786947,0.840021692,1.024856096,0.047858942,0.387370838,0.86791899,0.030400572,1.36050446,0.444419238,0.547691271,0.357361293,2.080036243,0.172966047,-0.205963556,0.863195057,1.738125,1.267546322,2.901328273,1.103603604,1.317420645,-0.239484188,-0.439230161,1.986979167,1.281556802,0.869365928,-0.034448493,1.590697674,-0.101423932,-0.07918552,1.19507772,1.157223376,1.288261172,1.072047108,-3.006042296,0.448686705,3.690618762,2.297403234,0.543389633,1.48427006,0.77215578,-0.128002745,-0.408844065,-0.162440791,0.968385592,0.564364007,0.903276747,0.200480673,0.215819516,1.946292585,0.828068214,1.494438559,1.521282477,0.600059916,0.635904345,1.783122363,1.426998224,-0.00399274,1.029420685,1.520487265,0.9,1.597402597,1.107206143,0.087863953,0.468095967,-0.162139457,0.165338645,0.715673051,0.551546392,0.480074143,1.41097786,1.256296706,0.06663113
"NF1 (28, 12%)",NF1,1.379858225,0.236277174,0.108657502,-0.959326113,0.045329892,0.277659322,0.555242246,0.106628242,-0.293103448,-0.233969717,-0.105877007,1.190486348,-1.474918802,0.014822771,-0.005039597,0.184237462,0.196452933,1.303428279,1.154849828,0.75755151,0.741793103,1.555787823,-0.837443029,0.297276757,-0.29445823,0.119811561,0.057871036,0.303874539,0.036290994,0.475628385,-0.46521876,1.20802139,0.723422795,0.190834279,-0.213733906,0.426292278,0.085503127,0.557410941,-0.129594076,0.173734355,0.251727408,-0.033707865,-0.021054061,0.078802206,0.500813249,0.316579049,0.309925926,0.813884786,0.399695277,-0.091175094,-0.498198771,0.91092437,0.484184539,0.100398406,-0.190949227,0.106426887,0.557775292,-0.29241997,0.141546852,-0.751303053,-0.290827436,0.39208581,0.228529484,0.258108851,-0.644366197,0.838727889,-0.11951056,1.053800171,-0.039407631,0.056695345,0.97338403,0.439317673,-0.479521342,0.038756715,0.026156454,0.085555556,0.223677225,0.522317933,-0.241472577,0.734215168,0.139375476,0.299585062,0.403718617,0.485415304,-0.597471516,0.261751276,0.287861272,0.454187967,-0.064936848,0.584496957,-0.138131167,0.607500334,0.201466234,0.842913559,-1.520250615,-0.328233438,0.684746358,0.064662199,0.104114713,0.463997148,-0.325091979,0.564536741,0.268147014,0.378665003,0.067322631,-0.162049283,0.055518727,0.431614654,0.661532775,-0.003843019,-1.729890454,-0.713179495,0.005894962
"NTRK1 (30, 13%)",NTRK1,1.187135984,0.362907609,-0.078092399,0.001041016,-0.740981475,-0.264249333,-0.095662166,0.244775522,-0.581614078,-0.196254389,-0.175220164,0.565095156,0.438605356,-0.528109399,-0.026770294,-0.84375,1.568830661,0.600979858,0.537905237,3.25525105,1.141242938,2.169477468,3.92363199,0.393079761,-0.568443902,-0.244208619,0.693185086,-0.585600907,-0.520848574,-0.560864963,-0.220461948,2.252844501,-0.260026611,-0.575292398,-0.388197425,1.273904701,0.093506196,0.136234784,-0.182159755,0.108537269,-0.175887119,-0.180937621,-0.250882912,-0.190167834,-0.131033391,-0.44621252,-0.014631844,0.006457399,-0.793966152,-0.09375,0.220172202,-0.361881923,-1.289527027,0.309256887,-0.693127791,0.294866104,0.953285162,0.004013584,2.040513337,-1.06099266,0.186333037,1.245687781,-0.193922796,0.540406817,-0.046603032,0.781519036,1.242687239,1.567493113,0.857581338,0.117412494,-0.250072443,0.899303452,0.811726541,-0.712017252,0.398159361,-1.006821089,-0.585249802,1.043748446,0.125090698,-0.124761541,-0.145907473,0.245350623,0.652599388,0.259173689,-1.186826908,-0.082863282,-0.316056911,0.656632653,-0.915792458,-0.535277718,0.128579611,0.181622398,-0.041259982,1.093006062,-1.222222222,-0.565925926,-1.197460057,-0.248686832,0.387659707,0.100352803,-0.608386535,0.130097408,0.068730159,0.006127614,0.069911963,-0.037898936,-0.061152291,0.21004954,-0.203616134,0.417805047,0.113701114,0.079542076,0.141866667
"PIK3CA (20, 9%)",PIK3CA,-0.452516866,-0.026869806,-0.028886242,-1.166892197,-0.036700227,0.421415005,-1.045751634,-0.16828212,0.107623318,0.297438448,0.650225564,0.825042882,-1.401746725,-0.49912816,-0.002014388,2.243566727,-0.112345152,-1.544483986,-0.989321943,-1.825452716,-1.169793621,-0.38664422,-0.575307951,-0.236250968,0.158633002,0.31195408,0.326834862,-0.020126724,0.28248062,-0.518541033,0.754665203,-0.576254826,0.674435543,1.20779585,0.24632427,-0.443578322,-0.01827012,-0.143452588,0.413942178,-0.566552901,-0.213605823,0.129643669,-0.270381554,-0.084859914,0.047858942,-0.403527244,-0.370071105,0.608544634,0.452045134,0.147954545,-0.345699831,0.352552817,-0.63369345,-0.110349331,-0.208190149,-0.454819277,-0.167457132,1.056787124,0.268452983,-0.366372981,-0.108051403,-0.065598549,-0.338781967,-0.098405717,0.620617111,-1.22470489,-0.389380531,-0.362290862,-0.138965952,-0.165368759,-0.237455197,-0.707672796,-0.285276074,1.012722646,1.398994516,0.031103771,-0.47718332,1.959385835,0.562026791,0.100260902,-0.472838316,0.288441868,-0.423066977,-0.440512678,-1.103586889,-1.20140802,-0.692439129,-0.732278344,-0.363938974,-1.715208962,-0.223289665,-0.284133916,-0.072944694,-1.136541889,-0.502539913,-0.203206806,0.63410302,1.325408091,0.124688279,0.330171751,1.088010899,-0.221300597,0.796389464,0.460738172,-0.018587361,1.377698755,-0.154362416,0.371113049,0.610960391,0.753926702,0.833948339,0.241099855,-0.014527845
"ROS1 (13, 6%)",ROS1,-0.222587997,-0.434661853,-0.610432191,-1.244602715,0.514428502,-0.229126448,-0.085176673,-0.106927249,-0.35872871,-0.27530735,-0.080042207,1.459546233,-1.996674584,0.904216995,-0.003741546,3.990198824,0.785881893,0.481521349,2.748275042,1.360964263,0.624964699,0.44839761,0.130665879,-0.177100813,-0.165326902,-0.123941092,0.802645452,-0.333394834,-0.719641551,-0.344019356,0.480440616,-0.54228253,0.253183244,-0.06015891,-0.309526235,0.762344696,0.683146837,0.565653075,0.030315334,0.474687091,0.29386921,-0.040681906,-0.225365587,-0.694689665,0.191804571,-0.573041539,0.132473254,1.457829329,1.717132125,-0.130149813,0.783756172,0.199249365,0.800063776,0.190945837,-0.035182119,-0.296152119,-0.369635193,0.439017299,0.342979366,0.360058074,0.37232672,-0.276682838,-0.341444167,0.102253986,0.866126126,0.773657045,-0.21890714,0.526750761,0.087558744,0.025367156,0.2144306,0.038461538,-0.260593479,-0.932758283,-0.161055946,0.247083333,3.351409978,2.197613721,-0.652114804,0.661969219,0.854523774,0.257293977,-0.156548695,-0.446723015,-0.164560863,0.400990744,0.695676275,0.572040816,-0.429382541,-0.018014154,-0.637597459,0.092893037,-0.51105056,-0.191881343,1.27884452,1.376566059,2.182190379,1.184276504,0.885945778,0.781669971,1.196742392,0.578836615,0.680870218,0.688764474,1.319394096,0.80537756,-0.007676903,1.290380129,0.940803929,0.847366655,0.674379821,0.691786744,0.821932393
"SMARCA2 (16, 7%)",SMARCA2,0.253709199,-0.234591893,-0.325193568,0.393442623,-0.779186992,-0.593886463,-0.194953439,0.128554265,-0.034472331,0.261708698,0.374736842,1.598381601,6.405325444,0.155658393,-0.031654676,1.23651192,-0.112345152,-0.215714805,1.256975037,-2.004024145,0.569524913,-0.415824916,-0.80556369,0.245605096,-0.426552919,-0.161003659,2.207492795,-0.948937756,-1.217376134,-0.612699368,-0.380450688,0.77920354,-1.048562549,-0.041785105,-0.05304878,-0.286470394,0.11954023,-0.032302883,-0.303551609,-0.416382253,-0.194848824,0.297808012,-0.375757576,-0.046605603,0.415302267,-0.699394578,0.20855615,0.881556096,-2.388307155,-0.058313817,-2.106312292,0.222369878,-1.002366464,0.018898142,-0.159580342,-0.316463233,-0.497720098,1.041319766,-1.252204586,-0.386563877,0.583333333,0.822222222,0.060706967,-0.409565695,-1.123828125,-0.465851602,-0.105531049,-0.562719438,-0.014738946,0.025446429,-1.119350732,0.043360434,-0.218613669,0.270650933,2.007052186,-0.89375,-0.64465154,-2.723590586,-0.632069795,0.006336191,-0.122943185,0.452527322,1.211271102,0.319531463,-0.926406926,0.888740662,-0.251047779,-0.142228739,-0.943751812,0.071367521,-0.460262009,-0.147598253,0.349900029,-0.784925891,-2.037023593,-1.072971204,1.561278195,-1.128290693,-0.562032419,-0.517350993,-0.25203252,-1.056403451,-1.122382199,-0.589479393,0.19734098,-0.11351052,-0.096644295,-0.54351145,-0.696944211,-0.100820633,-1.598044541,-0.771323754,-0.483827127
"SMARCA4 (17, 7%)",SMARCA4,-2.598574822,-0.303047091,0.549531067,-0.186794092,0.605576441,-0.715429403,0.127442885,0.031555822,-0.151496825,-0.35876452,-0.830117052,1.611155378,2.795857988,-0.527027027,0.073009485,1.56370876,-0.14519699,1.902841108,-0.553672316,-0.556084885,-0.797060663,0.00886918,0.509833135,0.028280255,-0.298587043,-1.115786722,-0.158170188,-0.948937756,-1.102830527,-0.284381583,0.108815828,-1.061664954,0.062636562,-0.041785105,-0.470723836,-0.176012966,-0.205896116,-0.183744356,0.064306944,-0.034508912,0.161157025,-0.061514196,1.017838126,-0.029139073,0.357290742,-0.34586071,0.20855615,-0.508816121,-1.689709972,-0.212681329,-0.944184065,-0.704766422,-0.705941931,0.237668161,-0.622308117,-0.667191932,-0.599088039,0.086243547,-0.348639456,-0.72981988,-0.904991492,0.023703704,0.325627152,-1.187571266,-1.130485893,-0.136997539,-0.279267051,1.501481921,0.413421504,-0.133936652,-0.788829152,0.269172932,0.785511364,-0.944356121,-1.880362538,0.909287842,0.656316916,-1.759816754,-0.594765343,0.66492732,0.216841456,-0.101508916,0.363207547,-0.254499438,-0.475844648,-1.347974018,0.318594552,-0.966182528,-1.066860465,-1.417993973,-0.436837582,0.272521246,-0.242870285,-0.330550402,0.32579023,-0.364201571,-0.186337914,-1.959984609,-0.65437479,-0.843758611,-0.423792903,-1.253628196,-1.367062107,-0.506236443,-0.797703663,-0.11351052,-0.259094029,-1.158776167,-0.696944211,-0.191682156,-1.139688249,-0.056251911,0.284494262
"STK11 (43, 19%)",STK11,-7.673192771,-0.048946201,0.002948113,-1.034828496,-0.662860155,-0.336371693,-0.837187052,-0.073467717,0.107534856,-0.232800104,0.033463973,-0.57782149,34.16157205,-0.70228833,-0.022773133,-164.6436782,-0.914363144,-1.16270034,-8.543650794,-1.969994058,-2.167380041,-1.08424679,8.706070288,-0.286614807,-0.087486602,-1.404366398,-0.203535354,-0.499411534,-0.518826233,-0.162545283,-0.186339314,-2.894601542,0.136110143,-0.23341488,-0.175536481,-0.659136749,-0.530082728,-0.773087071,-0.204805654,0.133209302,-0.494322857,-0.090075727,-0.034229829,0.029365496,0.522766079,0.541992563,-0.10538865,-0.963109354,-4.203389831,0.162408759,-5.21797153,-1.114751528,-0.727111111,-0.704060035,-0.603929997,-1.230684529,-3.051366777,-0.467536871,-1.338226109,-0.994181536,-0.979833547,0.357538036,0.037648867,-1.254623921,-2.179524362,-1.271073647,-0.32312457,-0.998991766,-0.186486837,-0.146829044,-0.518177412,-0.565965264,0.045368171,-0.968247248,1.459213815,-0.777923402,-0.867082962,-7.168831169,-0.103981968,-0.365612648,-0.382630989,-0.319675157,0.32089463,-0.344037367,-0.424621153,-1.845598022,-0.597040532,-1.598997494,-0.632952692,-3.356353591,0.016833096,-0.345131351,-0.323238866,-0.97903525,-1.373182957,-3.455606147,-4.662802419,-2.292544229,-1.703331098,-1.754537287,-0.477083974,-3.282382692,-2.014880311,-0.493150685,-0.804219894,-0.885579196,-0.360786496,-2.3149044,-1.630719575,-0.407113613,-13.67922374,-2.125371521,-0.20683527
"TP53 (105, 46%)",TP53,-0.339960239,-0.019390582,-0.068666873,0.236138811,0.340058402,0.173072794,0.41269502,0.102901354,-0.168815224,-0.132890365,-0.298251513,1.105848787,-1.092946058,0.070677324,-0.001438849,0.599391481,0.373241852,0.087317397,0.525353283,0.489593041,0.09388583,0.38917168,-1.05896673,0.015752033,-0.068408295,0.257115973,0.035516517,-0.540378403,-0.452463267,-0.043334336,0.364396361,0.166532582,0.864842904,0.243559719,-0.620143455,0.21411902,0.167383733,0.280749471,-0.256221198,0.037912913,0.130617608,-0.101556102,-0.223898612,-0.208835341,0.300048008,-0.183091007,0.286426884,0.249918327,0.53886616,0.021520147,0.52173913,0.666134752,0.266156202,0.261454047,0.036955323,0.264698461,0.478984933,0.321997875,0.712606524,0.621758888,-0.578253707,-0.149136578,-0.292626057,-0.098405717,-0.16653605,-0.048212133,-0.064948454,0.626549094,0.210428737,-0.048253676,0.568132816,0.371061255,-0.105759162,0.108806405,0.667008547,-0.099104478,0.772089182,-3.138736264,-0.401009737,0.225015913,0.257305195,0.23256538,-0.368323557,-0.284804078,-0.480097765,0.180792377,0.380569514,0.513849726,-0.429360465,0.446482261,-0.368,0.508840017,0.328742668,0.385490394,-1.076615209,-0.224991225,0.144582593,-1.514342895,-0.444622793,-0.400398406,-0.284722222,-1.391184573,-0.832821413,-0.008830613,-0.115544472,-0.179448772,-0.097188476,-0.364304813,-0.278636884,-0.220438328,-0.177620858,-1.119574845,0.048292423
